Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
ACL.N0000,ACL CABLES PLC,300,103.00,104.00,75,103.75,6000,2.75,2.72,104.00,100.75,102.55,2323206,238237210.50,767,101.00,64.59%,14:29:14.713810
COMB.N0000,COMMERCIAL BANK OF CEYLON PLC,1000,217.75,219.50,163,218.75,90,2.75,1.27,219.00,215.50,217.83,383668,83575199.75,414,216.00,85.78%,14:29:38.911666
DIAL.N0000,DIALOG AXIATA PLC,138,30.60,30.70,190828,30.70,515,0.00,0.00,30.80,30.50,30.64,143625,4400156.70,140,30.70,56.71%,14:29:33.752555
HNB.N0000,HATTON NATIONAL BANK PLC,326,424.00,426.75,354,425.75,100,-0.25,-0.06,427.00,425.00,425.75,166385,70838032.75,232,426.00,51.23%,14:29:51.421050
JKH.N0000,JOHN KEELLS HOLDINGS PLC,35460,22.70,22.90,778689,22.80,899,0.40,1.79,22.80,22.40,22.65,5400248,122336323.60,692,22.40,69.45%,14:29:39.216494
LIOC.N0000,LANKA IOC PLC,500,134.75,138.00,10,137.00,100,2.50,1.86,138.75,134.00,136.41,441568,60236376.50,319,134.50,75.05%,14:28:49.322772
LLUB.N0000,CHEVRON LUBRICANTS LANKA PLC,78,189.50,191.00,5948,191.00,152,0.75,0.39,192.00,189.00,190.13,66064,12560652.25,132,190.25,37.52%,14:29:36.939578
MELS.N0000,MELSTACORP PLC,1175,174.25,178.00,2500,175.00,45394,-3.00,-1.69,179.75,175.00,176.74,277690,49078463.75,135,178.00,48.07%,14:29:37.064447
NTB.N0000,NATIONS TRUST BANK PLC,217,322.50,326.50,71,326.00,10,8.00,2.52,328.50,318.00,321.55,251863,80986184.00,281,318.00,76.95%,14:29:43.633167
NTB.X0000,NATIONS TRUST BANK PLC [Non-Voting],3,391.50,395.00,1927,395.00,10,9.50,2.46,395.00,395.00,395.00,166,65570.00,6,385.50,100%,13:46:29.553157
SAMP.N0000,SAMPATH BANK PLC,1630,154.50,155.00,64208,154.75,400,0.75,0.49,155.50,154.25,154.87,2000841,309864580.50,762,154.00,87.51%,14:29:56.198786
SPEN.N0000,AITKEN SPENCE PLC,102,158.75,163.00,500,161.00,100,2.00,1.26,162.00,158.75,159.83,24700,3947679.50,41,159.00,48.19%,14:23:05.472027
TKYO.N0000,TOKYO CEMENT COMPANY (LANKA) PLC,100,113.50,114.50,210,114.00,7568,0.75,0.66,114.25,113.00,113.66,124633,14165543.25,135,113.25,12.88%,14:26:31.744011
TKYO.X0000,TOKYO CEMENT COMPANY (LANKA) PLC [Non-Voting],1829,95.10,96.00,100,95.50,610,0.80,0.84,95.50,94.00,94.73,1007056,95397102.00,192,94.70,53.03%,14:26:43.01841
