Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
"ACL.N0000","ACL CABLES PLC","50","96.60","97.70","17,768","96.90","100","-0.60","-0.62","98.00","96.70","97.11","346,546","33,654,786.70","258","97.50","74.18%","14:29:24.680106"
"AEL.N0000","ACCESS ENGINEERING PLC","217","75.10","75.70","498","75.50","4,500","-0.50","-0.66","76.00","75.50","75.59","610,835","46,171,329.80","149","76.00","52.12%","14:29:22.468893"
"ALUM.N0000","ALUMEX PLC","10,000","16.70","17.00","52,317","16.80","50","0.10","0.60","16.90","16.60","16.77","63,865","1,071,145.80","61","16.70","75.32%","14:20:46.889905"
"ASIR.N0000","ASIRI HOSPITAL HOLDINGS PLC","420","33.50","35.90","10,000","35.00","111","-0.10","-0.28","36.00","33.60","34.79","118,257","4,114,321.30","96","35.10","36.93%","14:25:58.564869"
"BREW.N0000","CEYLON BEVERAGE HOLDINGS PLC","12","2,750.00","2,938.00","5","2,939.00","2","188.25","6.84","2,940.00","2,925.00","2,931.08","12","35,173.00","4","2,750.75","100%","13:17:24.205187"
"CARG.N0000","CARGILLS (CEYLON) PLC","10","658.00","687.75","59","680.00","10","-4.75","-0.69","689.00","650.00","672.69","1,810","1,217,562.00","57","684.75","14.76%","14:27:29.426845"
"CDB.X0000","CITIZENS DEVELOPMENT BUSINESS FINANCE PLC [Non-Voting]","3,050","32.80","33.00","25,372","32.90","4,000","-0.20","-0.60","33.30","32.50","32.62","453,737","14,802,726.50","143","33.10","88.04%","14:29:58.023910"
"CHL.N0000","CEYLON HOSPITALS PLC","10","60.10","63.00","1,999","61.00","17","0.50","0.83","62.90","59.80","60.63","3,221","195,280.30","23","60.50","2.85%","14:04:45.708814"
"COCO.N0000","RENUKA FOODS PLC","1,620","26.10","28.00","31,185","27.80","100","0.20","0.72","28.60","26.10","26.92","9,615","258,802.80","52","27.60","17.44%","14:27:52.615432"
"COCO.X0000","RENUKA FOODS PLC [Non-Voting]","5,000","21.00","23.50","595","22.30","200","-0.70","-3.04","24.20","20.00","20.38","112,784","2,298,833.80","68","23.00","24.83%","14:29:01.047964"
"COMB.N0000","COMMERCIAL BANK OF CEYLON PLC","15","202.25","203.00","2,436","202.50","20","-2.50","-1.22","205.00","201.75","202.41","163,031","32,999,885.50","543","205.00","32.35%","14:29:11.127716"
"DFCC.N0000","DFCC BANK PLC","590","128.00","129.00","1,176","128.75","10","-0.75","-0.58","129.75","126.00","127.62","91,273","11,648,130.00","360","129.50","14.67%","14:26:37.120714"
"DIAL.N0000","DIALOG AXIATA PLC","364","40.80","41.10","70","41.10","30","-1.70","-3.97","42.70","40.40","41.01","3,244,544","133,064,236.20","1048","42.80","58.73%","14:29:59.595712"
"DOCK.N0000","COLOMBO DOCKYARD PLC","600","126.00","129.00","4,000","126.50","40","-1.50","-1.17","132.75","125.75","127.13","761,548","96,813,551.25","552","128.00","31.21%","14:29:52.600266"
"HAYL.N0000","HAYLEYS PLC","100","230.00","233.50","10","230.00","1,800","-4.50","-1.92","235.00","230.00","232.37","47,283","10,987,042.75","191","234.50","18%","14:29:59.455591"
"HEXP.N0000","HAYLEYS FIBRE PLC","300","128.50","135.00","122","133.75","46","-1.25","-0.93","136.00","130.00","131.82","31,066","4,095,067.75","90","135.00","7.43%","14:29:31.641623"
"HHL.N0000","HEMAS HOLDINGS PLC","1,000","30.80","31.70","5,000","30.90","9,160","-0.30","-0.96","31.90","30.80","30.91","1,142,959","35,326,945.40","304","31.20","81.60%","14:29:17.186759"
"HNB.N0000","HATTON NATIONAL BANK PLC","10","390.25","394.75","1,670","391.00","37","-4.00","-1.01","395.00","390.00","390.73","107,932","42,172,422.25","414","395.00","21.76%","14:29:31.516079"
"HNB.X0000","HATTON NATIONAL BANK PLC [Non-Voting]","410","328.00","330.00","7,075","330.00","3,906","-0.75","-0.23","333.00","328.00","328.90","54,668","17,980,063.00","174","330.75","35.64%","14:29:13.470768"
"JKH.N0000","JOHN KEELLS HOLDINGS PLC","3,050","19.90","20.00","48,890","19.90","500","-0.20","-1.00","20.10","19.90","19.95","3,709,528","73,993,867.90","631","20.10","56.86%","14:29:11.850223"
"LIOC.N0000","LANKA IOC PLC","2","135.50","137.75","500","135.75","571","-0.25","-0.18","137.25","135.25","136.12","73,098","9,950,191.00","163","136.00","32.86%","14:29:28.501015"
"LLUB.N0000","CHEVRON LUBRICANTS LANKA PLC","560","197.25","198.00","10","198.00","50","-0.75","-0.38","200.00","197.25","198.13","26,161","5,183,362.00","86","198.75","99.05%","14:26:56.444212"
"MELS.N0000","MELSTACORP PLC","10","180.25","184.50","8,324","184.00","5","-1.00","-0.54","185.00","181.50","184.66","32,987","6,091,490.75","102","185.00","74.78%","14:26:18.372162"
