Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
ACL.N0000,ACL CABLES PLC,30690,83.00,85.00,618,83.90,1000,-2.30,-2.67,86.00,83.00,83.99,869732,73048832.20,446,86.20,68.69%,14:29:55.770590
AEL.N0000,ACCESS ENGINEERING PLC,310,63.40,64.50,1650,63.70,20,-4.20,-6.19,67.00,63.50,64.16,1537556,98642461.00,689,67.90,51.46%,14:29:49.309115
ALUM.N0000,ALUMEX PLC,98,16.00,16.70,1000,16.30,200,-0.20,-1.21,16.80,15.90,16.10,81097,1305462.90,65,16.50,60.61%,14:28:32.042453
ASIR.N0000,ASIRI HOSPITAL HOLDINGS PLC,3213,30.00,31.90,997,30.70,150,-1.30,-4.06,31.90,29.90,30.08,969294,29154881.50,145,32.00,26.30%,14:22:36.313786
BREW.N0000,CEYLON BEVERAGE HOLDINGS PLC,10,2502.75,2650.00,20,-,-,-,-,0.00,0,-,-,2669.00,-,--:--:--
CARG.N0000,CARGILLS (CEYLON) PLC,27,670.50,698.75,25,672.25,3,-4.75,-0.70,700.00,672.25,693.86,16,11101.75,4,677.00,81.83%,14:29:28.532345
CHL.N0000,CEYLON HOSPITALS PLC,1000,63.00,67.00,200,65.90,45,4.60,7.50,70.00,59.00,65.80,20420,1343567.30,71,61.30,90.03%,14:26:00.961638
COMB.N0000,COMMERCIAL BANK OF CEYLON PLC,325,189.25,194.50,250,189.50,5,-3.50,-1.81,195.00,189.25,191.82,670653,128641562.50,1203,193.00,71.25%,14:29:53.591858
DFCC.N0000,DFCC BANK PLC,1090,127.00,128.00,4520,127.75,23,-2.50,-1.92,131.00,127.00,127.90,472371,60416093.50,349,130.25,12.09%,14:29:41.382954
DIAL.N0000,DIALOG AXIATA PLC,1133,28.90,29.80,4194,29.00,395,-0.60,-2.03,30.00,29.00,29.07,1258364,36583032.40,516,29.60,6.25%,14:29:44.769406
DOCK.N0000,COLOMBO DOCKYARD PLC,50,113.00,114.50,10000,113.75,1,-4.50,-3.81,118.00,110.00,113.97,613945,69974363.25,659,118.25,64.79%,14:29:43.764869
HAYL.N0000,HAYLEYS PLC,80,197.50,199.00,554,198.75,1,-4.25,-2.09,203.50,197.50,198.96,348519,69342121.50,619,203.00,25.75%,14:29:06.409170
HEXP.N0000,HAYLEYS FIBRE PLC,100,104.00,110.00,275,106.50,50,-3.75,-3.40,111.00,100.00,105.11,17505,1839931.50,48,110.25,1.98%,14:15:16.354714
HHL.N0000,HEMAS HOLDINGS PLC,31987,27.70,28.50,51795,28.00,1500,-0.50,-1.75,28.50,27.70,28.23,1695945,47879282.70,585,28.50,26.88%,14:29:51.721948
HNB.N0000,HATTON NATIONAL BANK PLC,250,392.00,405.00,50,392.50,5,-2.75,-0.70,397.00,391.75,392.42,458298,179844383.75,441,395.25,11.29%,14:29:29.514305
JETS.N0000,JETWING SYMPHONY PLC,4317,13.60,14.90,7061,13.90,3570,-0.10,-0.71,14.00,13.50,13.97,179272,2504176.10,66,14.00,79.36%,14:28:46.997320
JKH.N0000,JOHN KEELLS HOLDINGS PLC,35731,17.90,18.10,100000,17.90,6000,-0.80,-4.28,18.50,17.90,18.12,26183352,474412098.30,3207,18.70,58.45%,14:29:58.082617
